default_id,customer_id,loan_id,default_date,default_amount,days_overdue,collection_status,last_contact_date,contact_attampts,legal_notice_sent,recovery_amount,collection_agent_id
1,2440,1,11-02-2024,147013.5938,528,Legal Action,21-06-2025,34,1,69137.67188,2
2,2440,3,06-05-2024,281528.5938,443,Legal Action,05-05-2025,20,1,153692.8438,8
3,2200,28,27-11-2023,639976.625,604,Written Off,01-07-2025,64,1,207236.1875,2
4,2487,37,23-12-2024,250034.4844,212,Legal Action,14-06-2025,46,1,178217.875,1
5,2487,38,16-07-2022,240916.4531,1103,Written Off,07-07-2025,64,1,81229.64844,7
6,4401,52,13-04-2025,413609.75,101,Legal Action,02-05-2025,46,1,82103.52344,8
7,4080,60,27-03-2025,301048.5625,118,Active,01-07-2025,30,0,86490.82031,8
8,303,66,06-03-2025,174658.1719,139,Legal Action,12-07-2025,19,1,88702.60938,4
9,1955,71,14-07-2025,377657,30,Active,12-07-2025,6,0,5071.77002,10
10,269,75,12-06-2023,352935.3438,772,Written Off,26-06-2025,42,1,16164.04004,9
11,4535,77,12-12-2024,313139.7188,223,Settled,16-05-2025,10,1,239058.875,6
12,3818,80,19-07-2025,326476.2813,30,Legal Action,03-07-2025,21,1,168087.25,6
13,3818,81,08-07-2025,674055.5,30,Active,05-07-2025,19,0,287275.875,9
14,1047,85,02-06-2025,635693.0625,51,Active,20-06-2025,23,0,185782.1563,8
15,1047,86,23-03-2024,298883.2813,487,Legal Action,15-07-2025,21,1,175856.4531,3
16,1047,87,14-09-2024,348488.9375,312,Active,30-06-2025,5,0,128092.4766,6
17,2511,92,05-09-2024,138578.2969,321,Active,05-05-2025,7,1,3871.77002,1
18,1353,94,22-07-2025,838776.4375,30,Active,09-07-2025,26,1,151214.4688,7
19,3489,106,24-05-2025,156812.0469,60,Active,19-07-2025,20,0,40831.21875,5
20,165,120,21-08-2024,843520.0625,336,Legal Action,21-05-2025,18,1,494582.6563,6
21,4068,126,07-11-2024,341463,258,Active,02-05-2025,24,1,101273.6094,6
22,2362,131,20-12-2024,278793.9688,215,Settled,09-05-2025,33,0,278793.9688,3
23,2362,132,08-06-2025,228458.2031,45,Active,09-07-2025,10,0,25463.08984,9
24,1512,134,28-02-2025,293624.7188,145,Active,13-05-2025,19,0,34360.01172,1
25,4242,144,07-04-2025,162720,107,Legal Action,09-07-2025,31,1,70627.09375,4
26,1675,147,13-05-2025,483731.8438,71,Active,25-06-2025,13,0,127943.4219,5
27,2211,152,10-05-2024,141873.1875,439,Legal Action,03-05-2025,28,1,83770.95313,10
28,3964,155,23-10-2024,637971.125,273,Legal Action,01-05-2025,17,1,236591.9063,8
29,916,159,09-05-2025,156323.7344,75,Active,07-06-2025,28,0,76376.78125,3
30,1651,168,10-11-2023,641969.5,621,Active,07-06-2025,28,1,268399.75,1
31,4793,175,22-07-2023,276597.5,732,Settled,18-06-2025,40,0,162539.0313,4
32,4178,178,20-06-2025,253643.0156,33,Legal Action,26-06-2025,26,1,140462.1094,3
33,341,190,23-05-2025,273844.7813,61,Active,08-07-2025,8,0,128310.5625,6
34,2801,193,24-05-2024,518689.75,425,Written Off,21-07-2025,50,1,129462.5313,6
35,810,200,19-07-2025,438923.6563,30,Legal Action,27-06-2025,39,1,230053.5469,8
36,446,203,11-08-2024,171519.5625,346,Legal Action,27-06-2025,23,1,83701.8125,2
37,1767,207,24-02-2025,639214.0625,149,Legal Action,10-07-2025,47,1,353663.6563,2
38,2767,213,26-11-2024,152833.875,239,Legal Action,13-06-2025,47,1,19297.86914,5
39,3229,215,28-12-2023,298688.3438,573,Settled,25-06-2025,14,0,195670.5781,2
40,3728,217,19-04-2024,371505.9375,460,Active,05-06-2025,13,1,81333.57031,9
41,3728,219,02-02-2025,777640.5,171,Active,12-05-2025,12,1,382126.8125,3
42,1730,220,23-09-2024,219083.5,303,Active,08-06-2025,11,0,41864.60938,10
43,3096,224,23-10-2023,261534.75,639,Legal Action,25-06-2025,40,1,154156.9375,5
44,1979,226,01-03-2024,244859.3125,509,Legal Action,17-05-2025,44,1,80234.96094,7
45,1589,238,04-05-2024,219786.0156,445,Legal Action,27-06-2025,43,1,96203.84375,9
46,459,241,09-03-2024,289589.8125,501,Legal Action,18-06-2025,23,1,143918.1406,8
47,459,242,06-03-2023,270483.9375,870,Written Off,12-05-2025,31,1,9961.69043,3
48,4724,247,29-11-2024,105129.6172,236,Legal Action,19-05-2025,23,1,25514.15039,7
49,4724,248,12-11-2024,237400.6875,253,Legal Action,07-07-2025,19,1,36659.60938,3
50,4724,249,09-05-2025,417243.2188,75,Active,11-07-2025,20,0,64340.87109,2
51,4697,261,24-08-2023,375511.0625,699,Active,07-06-2025,22,1,47233.39063,1
52,3975,268,24-03-2025,146102.0469,121,Active,12-06-2025,17,0,51122.30078,1
53,3975,269,01-01-2024,364021.25,569,Legal Action,19-05-2025,24,1,42207.5,3
54,594,276,12-07-2025,281569.4375,30,Active,11-07-2025,8,0,48795.96094,4
55,96,286,09-02-2025,113692.7969,164,Active,17-06-2025,24,0,28474.96094,2
56,3662,291,08-11-2024,375500.9375,257,Legal Action,09-05-2025,37,1,77507.24219,4
57,4664,295,05-09-2024,213243.7344,321,Legal Action,04-07-2025,46,1,52885.46094,7
58,4664,296,21-04-2025,301834.625,93,Active,01-06-2025,17,0,65240.53906,1
59,4018,303,15-12-2024,552036.625,220,Active,24-04-2025,20,1,144310.2969,7
60,4003,308,09-10-2022,798150.1875,1018,Written Off,03-06-2025,65,1,262745.1563,8
61,4479,315,30-05-2024,125722.5938,419,Written Off,28-05-2025,43,1,2245.909912,5
62,4421,317,19-06-2024,301040.6563,399,Written Off,06-06-2025,50,1,103029.6797,3
63,1274,320,20-03-2025,209263.1875,125,Active,03-05-2025,25,0,106485.8906,5
64,1430,324,18-07-2025,259681.7969,30,Active,08-07-2025,26,0,32101.25,1
65,4089,326,19-07-2025,250835.7813,30,Active,07-07-2025,26,0,107009.1719,1
66,1924,328,07-02-2024,448816.8125,532,Active,22-07-2025,27,0,75335.77344,9
67,1924,329,10-07-2024,356497.375,378,Legal Action,02-07-2025,23,1,41863.69141,2
68,1186,337,07-05-2025,245437.9531,77,Active,03-07-2025,6,0,41724.12891,6
69,4738,354,26-05-2025,105434.3203,58,Active,09-07-2025,23,0,40659.55078,3
70,2475,363,12-06-2024,314896.375,406,Written Off,26-05-2025,50,1,1640.280029,2
71,1673,365,17-10-2024,526759,279,Active,24-04-2025,25,0,72189.89844,7
72,2829,375,29-02-2024,359576.8438,510,Legal Action,12-06-2025,23,1,137255.25,10
73,1354,377,17-07-2023,729468.5625,737,Written Off,10-07-2025,51,1,183557.9063,2
74,1945,382,17-06-2024,516520.7188,401,Legal Action,18-05-2025,46,1,292854.8438,10
75,3670,385,20-01-2025,374244.75,184,Settled,19-06-2025,28,0,289450.1875,8
76,2246,390,04-05-2023,309361.9063,811,Legal Action,25-05-2025,31,1,42533.26172,4
77,1849,403,22-04-2025,345211.4063,92,Legal Action,09-06-2025,32,1,209317.0313,8
78,371,414,08-05-2024,216931.2813,441,Active,02-06-2025,18,1,66446.78125,10
79,1185,437,10-02-2025,158364.8125,163,Active,21-07-2025,27,0,36208.46875,6
80,4221,442,16-07-2025,192736.8594,30,Active,22-07-2025,19,0,77339.90625,3
81,4221,444,22-02-2025,277211.625,151,Active,09-05-2025,26,0,2889.120117,10
82,3867,446,03-04-2025,357181.1563,111,Active,19-05-2025,23,0,17957.65039,1
83,3530,453,11-02-2025,285258.3125,162,Active,30-06-2025,18,0,117850.5469,2
84,2229,458,06-12-2024,510671.8438,229,Active,17-05-2025,15,1,304820.4375,1
85,3591,462,19-10-2022,384266.7188,1008,Written Off,18-06-2025,57,1,88844.39063,8
86,1629,463,29-01-2023,379155.25,906,Written Off,30-06-2025,37,1,43371.89063,3
87,1629,465,21-02-2023,328779.5938,883,Written Off,02-07-2025,32,1,68294.49219,6
88,1015,485,21-05-2025,153501.7969,63,Legal Action,14-07-2025,41,1,24977.81055,8
89,959,490,03-07-2025,299640.8438,30,Active,23-06-2025,25,0,70741.64844,1
90,4245,494,15-10-2024,262881.8438,281,Settled,21-07-2025,25,0,241919.0938,1
91,2808,504,08-11-2024,271332.6875,257,Active,09-06-2025,25,0,124880.2422,7
92,2948,508,21-09-2023,418523.625,671,Legal Action,19-06-2025,22,1,230444.8125,4
93,3260,512,14-11-2022,348626.2188,982,Legal Action,27-05-2025,47,1,187860.7031,5
94,2158,525,21-09-2023,228456.3438,671,Active,20-07-2025,18,0,17443.63086,1
95,134,533,13-01-2024,291171.2188,557,Active,22-05-2025,28,1,26158.11914,5
96,1705,538,19-06-2025,322945.9063,34,Active,27-06-2025,18,0,46813.62891,4
97,3117,553,27-01-2025,167240.4844,177,Legal Action,19-05-2025,47,1,20528.00977,3
98,3117,554,28-02-2025,247869.3125,145,Active,21-05-2025,12,0,126332.6172,3
99,4372,559,13-07-2025,334337.7813,30,Active,12-07-2025,5,0,87526.11719,1
100,1742,566,27-04-2025,298391.875,87,Active,29-06-2025,6,0,108691.5625,9
101,1742,567,22-07-2025,285541.5,30,Active,17-07-2025,20,0,65038.08984,10
102,4434,573,20-09-2024,611761.4375,306,Legal Action,05-06-2025,22,1,352049.6875,2
103,2347,579,06-11-2024,406012.1875,259,Legal Action,05-07-2025,20,1,115850.4922,2
104,836,581,02-12-2024,643990.625,233,Legal Action,28-04-2025,42,1,179874.7344,6
105,2067,583,25-10-2024,414564.6563,271,Legal Action,05-07-2025,47,1,276100.8438,3
106,491,588,13-08-2023,502607.375,710,Active,03-05-2025,17,1,189950,4
107,1231,597,07-05-2024,227461.9844,442,Active,11-07-2025,30,0,42737.33984,7
108,1865,601,12-02-2024,171452.2813,527,Legal Action,04-06-2025,27,1,121765.9688,4
109,1865,602,01-05-2025,97501.71094,83,Active,22-07-2025,9,0,55366.44922,9
110,3934,607,25-06-2025,425844.2188,30,Active,16-07-2025,11,0,71208.21094,10
111,988,612,21-04-2024,564392.6875,458,Written Off,30-05-2025,51,1,91916.85156,8
112,3405,617,04-03-2025,391566.4063,141,Legal Action,15-06-2025,37,1,196598.625,4
113,4770,622,03-06-2025,185781.4219,50,Active,30-06-2025,29,0,53143.44141,10
