indicator_id,state_id,quarter,gdp_growth_rate,inflation_rate,unemployement_rate,education_spending_percent,per_capita_income,literacy_rate
1,1,2019-Q1,6.349999905,5.960000038,3.730000019,4.559999943,257049.25,82.61000061
2,1,2019-Q2,7.78000021,5.269999981,2.029999971,4.070000172,299902.9063,92.44999695
3,1,2019-Q3,8.859999657,3.24000001,4.239999771,5.510000229,223211.5469,93.59999847
4,1,2019-Q4,8.56000042,5.119999886,2.549999952,5.329999924,283828.375,91.47000122
5,1,2020-Q1,3.769999981,4.079999924,6.309999943,6.360000134,276290.2813,82.55999756
6,1,2020-Q2,5.309999943,5.199999809,5.820000172,5.889999866,390389.0625,89.29000092
7,1,2020-Q3,4.639999866,5.449999809,4.070000172,6.980000019,274564.75,86.36000061
8,1,2020-Q4,5.369999886,4.960000038,6.739999771,6.980000019,305174.625,80.91000366
9,1,2021-Q1,4.849999905,4.03000021,3.539999962,4.619999886,376284.7813,85.06999969
10,1,2021-Q2,6.909999847,3.089999914,2.589999914,6.96999979,326199.625,81.90000153
11,1,2021-Q3,5.510000229,4.440000057,5.579999924,6.900000095,256508.1563,91.72000122
12,1,2021-Q4,5.889999866,4.510000229,2.980000019,5.210000038,227627.9063,82.19999695
13,1,2022-Q1,8.180000305,5.139999866,4.630000114,4.360000134,210159.2031,86.04000092
14,1,2022-Q2,7.849999905,5.449999809,2.680000067,6.860000134,347462.875,91.62000275
15,1,2022-Q3,7.800000191,4.050000191,2.950000048,6.570000172,216587.2188,93.58999634
16,1,2022-Q4,7.019999981,4.769999981,3.809999943,6.789999962,302057.5313,81.70999908
17,1,2023-Q1,8.890000343,5.210000038,3.339999914,5.929999828,383254.5625,85.88999939
18,1,2023-Q2,7.590000153,5.989999771,4.099999905,5.920000076,319760.6875,83.23999786
19,1,2023-Q3,8.420000076,5.369999886,2.640000105,5.019999981,251303.2969,94.97000122
20,1,2023-Q4,8.699999809,4.510000229,3.289999962,5.110000134,270307.0625,88.83000183
21,1,2024-Q1,6.96999979,4.769999981,4.690000057,5.659999847,394816.1563,94.88999939
22,1,2024-Q2,8.699999809,5.039999962,4.360000134,6.659999847,301998.625,81.91999817
23,1,2024-Q3,8.850000381,3.950000048,3.25999999,5.710000038,293350.0313,88.08999634
24,1,2024-Q4,8.909999847,3.25,4.619999886,4.570000172,340016.5938,94.76000214
25,2,2019-Q1,6.28000021,6.840000153,9.579999924,4.800000191,207247.9219,66.94000244
26,2,2019-Q2,3.5,5.909999847,5.019999981,4.409999847,225970.625,61.65999985
27,2,2019-Q3,4.119999886,5.130000114,6.039999962,2.920000076,120028.0313,75.98000336
28,2,2019-Q4,6.489999771,5.949999809,4.309999943,3.450000048,164744.4219,79.13999939
29,2,2020-Q1,2.769999981,4.650000095,8.779999733,4.010000229,160093.3281,69.25
30,2,2020-Q2,2.309999943,4.940000057,6.769999981,3.130000114,126420.3828,61.06000137
31,2,2020-Q3,1.850000024,6.960000038,12.55000019,3.349999905,244116.25,60.68000031
32,2,2020-Q4,3.470000029,4.289999962,8.489999771,2.519999981,248129.9531,77.12999725
33,2,2021-Q1,4.300000191,4.090000153,7.039999962,3.890000105,186079.125,64.65000153
34,2,2021-Q2,4.590000153,4.360000134,11.85000038,3.289999962,189156.2344,77.47000122
35,2,2021-Q3,3.369999886,7.119999886,6.489999771,3.569999933,156768.4375,69.20999908
36,2,2021-Q4,4.099999905,4.25,6.329999924,2.849999905,188384.4219,79.19000244
37,2,2022-Q1,5.650000095,4.369999886,8.029999733,3.299999952,221301.9063,69.76000214
38,2,2022-Q2,3.599999905,4.130000114,4.010000229,4.5,177681.25,60.13999939
39,2,2022-Q3,4.079999924,5,4.96999979,4.300000191,194461,64.81999969
40,2,2022-Q4,4.929999828,6.239999771,7.960000038,2.940000057,145072.375,61.72000122
41,2,2023-Q1,5.590000153,4.550000191,4.980000019,2.819999933,231513.6563,72.93000031
42,2,2023-Q2,4.059999943,5.449999809,5.460000038,4.559999943,157913.1875,75.41999817
43,2,2023-Q3,4.630000114,4.679999828,5.090000153,3.5,203163.5469,68.65000153
44,2,2023-Q4,3.890000105,4.090000153,8.350000381,3.950000048,184014.3594,79.20999908
45,2,2024-Q1,3.720000029,6.420000076,9.300000191,4.340000153,236654.4844,74.25
46,2,2024-Q2,5.159999847,7.070000172,8.260000229,3.309999943,195831.3125,79.01999664
47,2,2024-Q3,4.650000095,4.070000172,6.090000153,4.949999809,128350.6875,68.91000366
48,2,2024-Q4,4.480000019,5.670000076,8.859999657,4.579999924,235418.5625,66.40000153
