geo_id,city_id,population_total,population_18_35,higher_education_enrollment,average_household_income,unemploment_rate,literacy_rate,number_of_colleges
1,1008,1949508,629719,120709,552610.25,5.78000021,82.29000092,55
2,1006,2316131,724597,122532,1125701.375,3.410000086,85.12000275,75
3,1018,1242783,373943,61052,756855.375,7.289999962,84.97000122,55
4,1018,2685387,775343,187434,753560.125,4.670000076,82.15000153,48
5,1025,623961,205722,48693,492184.75,8.739999771,75.69999695,18
6,1011,886143,259195,56146,596036.125,6.28000021,76.84999847,31
7,1004,9360430,2549322,432101,1255808,4.099999905,89.86000061,86
8,1025,703781,225052,54489,501377,10.56000042,67.59999847,8
9,1018,1785551,453046,91685,627995.625,6.909999847,82.55999756,36
10,1006,5908535,1842715,360126,989945.9375,4.090000153,93.91999817,55
11,1013,2910179,919810,177054,775646.5,7.550000191,79.30999756,56
12,1006,7693985,2438494,524558,1135607.625,5.829999924,94.33999634,70
13,1006,10843092,3126894,535549,1226493.75,5.489999771,90.08000183,143
14,1018,2084061,726251,157159,785158.25,6.309999943,82.63999939,50
15,1021,257598,77292,16579,535449.5625,5.650000095,78.30000305,25
16,1022,455639,142333,30863,414602.5313,11.61999989,69.54000092,7
17,1020,663448,176964,31082,542586.3125,6.800000191,67.51000214,9
18,1013,2169397,645801,151398,593171.125,6.639999866,85.48999786,28
19,1019,396538,117156,25274,526838.9375,5.03000021,69.16999817,6
20,1008,1572130,443018,85113,531197.9375,7.340000153,76.59999847,43
21,1015,1922531,512894,126980,559045.9375,5.150000095,82.58999634,20
22,1002,10868684,3633003,647239,1245858.75,5.46999979,90.37000275,58
23,1024,364328,92278,15193,520044.1875,8.680000305,72.33999634,17
24,1026,243852,84447,17919,468007.9688,11.34000015,75.58000183,20
25,1010,1632231,428371,99572,837149.6875,6.21999979,78.79000092,50
26,1007,9559312,2870073,595478,1087129.125,3.5,93.09999847,136
27,1019,138512,38918,8067,599416.3125,8.789999962,72.12000275,10
28,1021,156312,46173,10845,529146.625,8.569999695,65.25,18
29,1029,9771231,3265998,613592,851814.4375,3.200000048,86.05999756,72
30,1023,358332,113136,21724,595224.0625,8.670000076,66.19999695,16
31,1018,2623894,845337,197811,569558.8125,4.46999979,78.65000153,22
32,1022,279438,77286,19031,599381.4375,6.53000021,74.41999817,22
33,1024,229183,73395,11073,593126.625,7.820000172,75.26999664,18
34,1028,441592,115095,25038,565667.5,9.56000042,73.15000153,19
35,1025,604254,172023,29524,456851.0625,10.68999958,66.91999817,14
36,1020,672286,188919,45123,301370.5313,11.43000031,72.95999908,9
37,1007,6291235,1680778,275956,1316032,3.359999895,94.22000122,146
38,1020,683790,239046,38998,534409.25,7.519999981,71.44000244,21
39,1004,4910626,1347693,270357,1339471.125,5.5,91.12000275,101
40,1009,2871349,721747,176817,870155.1875,5.329999924,86.58999634,58
41,1029,5103947,1520744,324575,896665.0625,4.710000038,86.69000244,100
42,1015,2713093,788155,159952,669184,7.360000134,77.22000122,20
43,1016,1082154,296294,53872,736796.3125,6.96999979,83.70999908,35
44,1021,540351,135553,21812,388517.0313,5.679999828,78.44999695,22
45,1014,1982670,632205,149119,793987.5,5.929999828,75.27999878,47
