institution_id,institution_name,city_id,institution_type,establishment_year,total_students,average_course_fee,placement_rate,accreditation_status
1,National Technology College,1025,College,2007,4006,53861.78906,69.55000305,NAAC A
2,Central Law University,1017,University,1963,3919,313573.25,63.25,NBA Accredited
3,State Management University,1024,University,2009,4432,133544.2969,58.27000046,NAAC B+
4,Advanced Arts & Science College,1025,College,1971,5607,93312.1875,48.25,UGC Recognized
5,Regional Law University,1030,University,1987,2709,298089.5625,83.34999847,NBA Accredited
6,Advanced Commerce Institute,1016,Institute,2003,8858,156569.9688,75.95999908,NAAC A+
7,Indian Law University,1003,University,1991,9241,432581.375,77.51999664,NAAC B+
8,State Engineering Institute,1003,Institute,1994,20435,686259.0625,70.31999969,NAAC B
9,Government Medical University,1016,University,2018,8662,359438.1875,76.69999695,NAAC B+
10,Government Management University,1026,University,1971,4764,217872.0625,45.31000137,NAAC B
11,State Technology University,1018,University,2016,6341,366436.875,67.20999908,NBA Accredited
12,Central Commerce University,1030,University,2016,10353,249906.0625,NULL,NAAC B
13,State Medical University,1030,University,2015,4487,243562.6406,80.70999908,Not Accredited
14,Indian Technology University,1004,University,1954,18459,679913.25,82.51000214,AICTE Approved
15,Premier Management College,1009,College,1987,3033,141648.1563,72.45999908,NAAC B+
16,Indian Technology Institute,1007,Institute,1951,5989,393774.1563,94.41999817,NAAC B+
17,National Law Institute,1028,Institute,1990,2926,237682.2656,NULL,NAAC B
18,Indian Technology Institute,1005,Institute,2009,16071,733016.5,75.90000153,NAAC B+
19,Central Technology Institute,1021,Institute,1990,2611,177431.5,54.95000076,NBA Accredited
20,State Law University,1023,University,2017,1889,178993.3438,58.77999878,Not Accredited
21,Central Law University,1001,University,1987,17885,545519.4375,83.15000153,NAAC B+
22,Premier Technology University,1018,University,2007,4631,197180.7031,62.97000122,AICTE Approved
23,Advanced Technology University,1011,University,1995,8449,213299.6719,77.62000275,NAAC B
24,Modern Law College,1029,College,1971,22923,613803.1875,79.41999817,AICTE Approved
