loan_id,customer_id,institution_id,loan_amount,loan_status,interest_rate,loan_tenure_months,application_date,disbursement_date,maturity_date,emi_amount,purpose_of_loan
1,2440,2954,190607.125,Defaulted,11.39000034,84,08-12-2021,23-12-2021,16-11-2028,3302.540039,Living Expenses
2,2440,4741,425798.375,Active,14.43999958,48,01-01-2022,11-01-2022,21-12-2025,11728.73047,Course Fees + Living
3,2440,902,318341.25,Defaulted,11.64999962,96,06-03-2023,12-04-2023,01-03-2031,5112.870117,Course Fees + Living
4,4195,4724,327505.75,Active,10.18999958,48,20-12-2024,31-01-2025,10-01-2029,8336.240234,Course Fees + Living
5,4195,244,641567.8125,Active,11.68999958,84,16-11-2023,10-12-2023,03-11-2030,11219.62012,Hostel Fees
6,4195,2922,746155.9375,Active,9.390000343,84,15-10-2023,26-10-2023,19-09-2030,12152.69043,Course Fees
7,4829,3066,267158.0938,Closed,10.68000031,36,28-12-2021,17-01-2022,01-01-2025,8706.19043,Course Fees + Living
8,4829,2771,330773.625,Active,11.97999954,96,20-01-2023,04-03-2023,21-01-2031,5373.02002,Course Fees
9,4829,1623,427533.1563,Active,9.680000305,60,15-01-2023,09-02-2023,14-01-2028,9016.759766,Course Fees
10,1858,2657,250770,Active,16.97999954,60,14-11-2022,16-12-2022,20-11-2027,6230.259766,Living Expenses
11,1858,777,445111.0625,Active,14.44999981,84,04-05-2024,11-06-2024,06-05-2031,8451.349609,Course Fees + Living
12,1858,145,361205.2813,Active,14.52000046,60,09-10-2021,23-10-2021,27-09-2026,8502.269531,Course Fees
13,1259,2807,326221.8125,Active,11.65999985,96,12-09-2023,20-10-2023,08-09-2031,5242.069824,Course Fees + Living
14,1259,3401,360869.5,Active,13.35999966,96,10-02-2023,15-03-2023,01-02-2031,6137.959961,Course Fees + Living
15,1259,1018,214440.7031,Active,14.42000008,72,08-02-2022,04-03-2022,01-02-2028,4467.339844,Course Fees + Living
16,2697,4665,258446.9531,Active,10.57999992,60,25-10-2022,06-11-2022,11-10-2027,5564.649902,Course Fees
17,2697,5000,318886.0938,Active,9.619999886,96,06-11-2022,16-12-2022,04-11-2030,4775.109863,Course Fees
18,2697,4882,349092.5313,Active,11.72999954,60,25-04-2022,02-06-2022,07-05-2027,7717.899902,Living Expenses
19,2093,4227,726665.875,Active,11.97999954,48,19-12-2024,30-01-2025,09-01-2029,19128.48047,Living Expenses
20,2093,4274,840717.75,Active,11.14999962,36,10-05-2025,15-06-2025,30-05-2028,27584.01953,Course Fees
21,2093,1490,265286.125,Active,11.85000038,84,04-03-2024,22-03-2024,14-02-2031,4661.220215,Course Fees
22,3323,2905,435336.625,Active,10.72000027,48,03-12-2023,11-01-2024,21-12-2027,11191.87012,Living Expenses
23,3323,2010,390876.5,Active,9.859999657,84,02-08-2022,14-09-2022,08-08-2029,6461.209961,Course Fees + Living
24,3323,3269,380237.0625,Active,11.06000042,48,27-09-2023,01-11-2023,11-10-2027,9837.660156,Course Fees
25,503,2618,630897.75,Active,10.68999958,60,04-07-2023,23-07-2023,26-06-2028,13618.73047,Course Fees + Living
26,503,4185,150000,Active,9.520000458,84,31-01-2023,02-03-2023,24-01-2030,2452.780029,Course Fees
27,503,4794,810676.8125,Active,10.60999966,84,31-08-2023,29-09-2023,23-08-2030,13716.66016,Course Fees + Living
