payment_id,loan_id,payment_date,payment_amount,payment_method,payment_status,late_fee,principal_component,interest_component,outstanding_balance
1,4659,31-03-2023,3043.120117,Debit Card,Success,0,1500.170044,1542.939941,163080.3594
2,4659,02-05-2023,2082.570068,UPI,Failed,0,0,0,163080.3594
3,4659,06-06-2023,2960.300049,RTGS,Success,0,1431.420044,1528.880005,161648.9375
4,4659,03-07-2023,3006.419922,Net Banking,Success,0,1490.959961,1515.459961,160157.9844
5,4659,04-08-2023,3023.929932,UPI,Success,0,1522.449951,1501.47998,158635.5156
6,4659,04-09-2023,3111.120117,Net Banking,Success,0,1623.910034,1487.209961,157011.6094
7,4659,02-10-2023,3243.77002,Net Banking,Failed,0,0,0,157011.6094
8,4659,29-10-2023,3298.610107,Credit Card,Success,0,1826.630005,1471.97998,155184.9844
9,4659,28-11-2023,2957.709961,Net Banking,Success,0,1502.849976,1454.859985,153682.1406
10,4659,29-12-2023,2468.360107,Cheque,Success,0,1027.589966,1440.77002,152654.5469
11,4659,25-01-2024,3328.97998,UPI,Success,0,1897.839966,1431.140015,150756.7031
12,4659,02-03-2024,3069.870117,UPI,Success,0,1656.52002,1413.339966,149100.1875
13,4659,24-03-2024,3015.540039,UPI,Success,0,1617.72998,1397.810059,147482.4531
14,4659,29-04-2024,1791.130005,Net Banking,Success,0,408.480011,1382.650024,147073.9688
15,4659,31-05-2024,3261.429932,Net Banking,Success,371.4100037,1882.609985,1378.819946,145191.3594
16,4659,24-06-2024,3216.780029,UPI,Success,0,1855.609985,1361.170044,143335.75
17,4659,31-07-2024,3171.719971,NEFT,Success,0,1827.939941,1343.77002,141507.8125
18,4659,21-08-2024,3312.080078,Net Banking,Success,0,1985.439941,1326.640015,139522.375
19,4659,29-09-2024,2960.51001,UPI,Success,0,1652.48999,1308.02002,137869.875
20,4659,24-10-2024,3305.389893,Net Banking,Success,0,2012.859985,1292.530029,135857.0156
21,4659,24-11-2024,2244.790039,Debit Card,Success,0,971.1300049,1273.660034,134885.8906
22,4659,27-12-2024,3236.590088,UPI,Success,0,1972.030029,1264.560059,132913.8438
23,4659,20-01-2025,2141.719971,UPI,Success,0,895.6500244,1246.069946,132018.2031
24,4659,21-02-2025,3005.689941,UPI,Success,0,1768.02002,1237.670044,130250.1797
25,4659,25-03-2025,3278.360107,Cheque,Success,0,2057.27002,1221.099976,128192.9063
26,3931,13-01-2023,6255.910156,Net Banking,Success,0,2129.689941,4126.220215,351041.6563
27,3931,13-02-2023,6242.129883,Credit Card,Success,0,2140.800049,4101.339844,348900.875
28,3931,10-03-2023,6183.75,Net Banking,Success,270.3800049,2107.429932,4076.330078,346793.4375
29,3931,13-04-2023,6230.419922,UPI,Success,176.5299988,2178.719971,4051.699951,344614.7188
30,3931,05-05-2023,6274.350098,UPI,Success,0,2248.100098,4026.25,342366.625
31,3931,04-06-2023,6053.859863,UPI,Success,0,2053.879883,3999.97998,340312.75
32,3931,04-07-2023,6295.029785,UPI,Success,0,2319.040039,3975.98999,337993.6875
33,3931,09-08-2023,2507.51001,UPI,Success,0,0,3948.889893,337993.6875
34,3931,10-09-2023,6294.580078,Debit Card,Success,0,2345.689941,3948.889893,335648
35,3931,11-10-2023,6286.089844,UPI,Success,0,2364.600098,3921.48999,333283.4063
36,3931,06-11-2023,6231.089844,UPI,Success,0,2337.22998,3893.860107,330946.1875
37,3931,10-12-2023,6335.600098,RTGS,Success,509.3099976,2469.050049,3866.550049,328477.125
38,3931,07-01-2024,6303.589844,RTGS,Success,978.1099854,2465.889893,3837.709961,326011.25
39,3931,03-02-2024,6044.72998,Debit Card,Success,0,2235.830078,3808.899902,323775.4063
40,3931,08-03-2024,6142.290039,Net Banking,Success,0,2359.52002,3782.780029,321415.875
41,3931,05-04-2024,6023.859863,RTGS,Success,0,2268.659912,3755.209961,319147.25
42,3931,07-05-2024,6072.600098,Debit Card,Success,0,2343.899902,3728.699951,316803.3438
43,3931,01-06-2024,5962.600098,UPI,Success,0,2261.280029,3701.320068,314542.0625
44,3931,28-06-2024,6320.589844,NEFT,Success,0,2645.689941,3674.899902,311896.375
45,3931,04-08-2024,6274.879883,Debit Card,Failed,0,0,0,311896.375
46,3931,04-09-2024,6289.75,UPI,Failed,0,0,0,311896.375
47,3931,05-10-2024,6016.620117,Debit Card,Failed,0,0,0,311896.375
48,3931,25-10-2024,5949.149902,NEFT,Success,0,2305.159912,3643.98999,309591.2188
49,3931,24-11-2024,6068.169922,Cheque,Success,0,2451.110107,3617.060059,307140.0938
50,3931,03-01-2025,6188.819824,UPI,Success,0,2600.399902,3588.419922,304539.6875
51,3931,29-01-2025,6265.140137,UPI,Success,0,2707.100098,3558.040039,301832.5938
52,3931,22-02-2025,5984.5,NEFT,Success,0,2458.090088,3526.409912,299374.5
53,3931,31-03-2025,5999.629883,Debit Card,Success,0,2501.939941,3497.689941,296872.5625
54,2899,04-10-2022,6091.209961,UPI,Success,0,2479.47998,3611.72998,386925.2813
55,2899,04-11-2022,6068.180176,Cheque,Success,0,2479.449951,3588.72998,384445.8438
56,2899,06-12-2022,6100.410156,NEFT,Success,0,2534.679932,3565.73999,381911.1563
57,2899,12-01-2023,6113.029785,Debit Card,Success,0,2570.800049,3542.22998,379340.3438
58,2899,01-02-2023,3238.76001,UPI,Success,0,0,3518.379883,379340.3438
59,2899,07-03-2023,6093.319824,NEFT,Success,0,2574.939941,3518.379883,376765.4063
60,2899,12-04-2023,6052.72998,UPI,Success,0,2558.23999,3494.5,374207.1563
61,2899,07-05-2023,6303.390137,UPI,Success,0,2832.620117,3470.77002,371374.5625
62,2899,08-06-2023,6258.339844,Credit Card,Success,0,2813.840088,3444.5,368560.7188
63,2899,10-07-2023,5954.819824,Credit Card,Success,0,2536.419922,3418.399902,366024.3125
64,2899,08-08-2023,6170.200195,Net Banking,Success,0,2775.320068,3394.879883,363248.9688
65,2899,08-09-2023,6271.879883,Cheque,Success,232.8600006,2902.75,3369.129883,360346.2188
66,2899,29-09-2023,6257.040039,Credit Card,Success,0,2914.830078,3342.209961,357431.4063
67,2899,02-11-2023,3725,Cheque,Success,0,409.8299866,3315.179932,357021.5625
68,2899,06-12-2023,6236.299805,NEFT,Pending,0,0,0,357021.5625
69,2899,05-01-2024,6299.120117,UPI,Success,251.1900024,2987.75,3311.379883,354033.8125
70,2899,29-01-2024,6187.740234,Net Banking,Success,214,2904.080078,3283.659912,351129.75
71,2899,03-03-2024,6040.080078,RTGS,Success,0,2783.350098,3256.72998,348346.375
72,2899,01-04-2024,6267.509766,RTGS,Success,0,3036.600098,3230.909912,345309.7813
73,2899,01-05-2024,6154.490234,Cheque,Success,0,2951.73999,3202.75,342358.0625
74,2899,30-05-2024,6057.029785,UPI,Success,0,2881.659912,3175.370117,339476.4063
75,3949,26-09-2022,9971.019531,Net Banking,Success,0,3901.879883,6069.140137,460573.0313
76,3949,24-10-2022,9842.780273,Credit Card,Success,0,3824.620117,6018.149902,456748.4063
77,3949,17-11-2022,9993.089844,UPI,Success,0,4024.909912,5968.180176,452723.5
78,3949,23-12-2022,10147.83984,Credit Card,Success,764.6099854,4232.25,5915.589844,448491.25
79,3949,19-01-2023,9826.519531,UPI,Success,177.3899994,3966.23999,5860.290039,444525
80,3949,25-02-2023,10028.99023,Debit Card,Success,0,4220.529785,5808.459961,440304.4688
81,3949,25-03-2023,9819.969727,Debit Card,Success,0,4066.659912,5753.310059,436237.8125
82,3949,19-04-2023,10183.53027,Net Banking,Success,0,4483.359863,5700.169922,431754.4375
83,3949,23-05-2023,9930.110352,NEFT,Success,0,4288.52002,5641.589844,427465.9375
